log目录,policy,在线测试任务信息,数据块信息,历史任务信息,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success),Success Datablock Num,Failed Datablock Num,Target Datablock Num
[remain02] schedule-review-simulation-05-13-16-53-17,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48 ,1000,0.025,1,0,0,100,100,4,[remain02] 1000.0(1000-1000),[remain02] 0.0(0-0),[remain02] 8.212730170978517(8.204909459848903-8.22584405417524),[remain02] 8.212730170978517(8.204909459848903-8.22584405417524),[remain02] 12224.6(12218-12235),[remain02] 1503.4(1493-1510),[remain02] 13728.0(13728-13728)
schedule-review-simulation-05-16-10-39-21,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48 ,1000,0.025,1,1000,0,100,100,4,880.0(876-886),120.0(114-124),7.94082877177256(7.874957599577374-8.008619188652673),9.023720135865451(8.983591444599721-9.12143415564086),11711.2(11609-11819),2016.8(1909-2119),13728.0(13728-13728)
schedule-review-simulation-05-11-17-19-20,PBGPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48 ,1000,0.025,1,0,0,100,100,4,1000.0(1000-1000),0.0(0-0),8.272366324602975(8.268224553342723-8.278633172707483),8.272366324602975(8.268224553342723-8.278633172707483),12728.0(12728-12728),1000.0(1000-1000),13728.0(13728-13728)
schedule-review-simulation-05-11-17-19-49,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48 ,1000,0.025,1,0,0,100,100,4,1000.0(1000-1000),0.0(0-0),8.272366324602975(8.268224553342723-8.278633172707483),8.272366324602975(8.268224553342723-8.278633172707483),12728.0(12728-12728),1000.0(1000-1000),13728.0(13728-13728)
schedule-review-simulation-05-11-17-20-37,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48 ,1000,0.025,1,0,0,100,100,4,1000.0(1000-1000),0.0(0-0),8.272368048796114(8.268224553342723-8.278633172707483),8.272368048796114(8.268224553342723-8.278633172707483),12728.0(12728-12728),1000.0(1000-1000),13728.0(13728-13728)
schedule-review-simulation-05-11-17-21-13,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48 ,1000,0.025,1,0,0,100,100,4,1000.0(1000-1000),0.0(0-0),8.278007564357086(8.278007564357086-8.278007564357086),8.278007564357086(8.278007564357086-8.278007564357086),12728.0(12728-12728),1000.0(1000-1000),13728.0(13728-13728)
schedule-review-simulation-05-13-17-20-09,OfflinePolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48,1000,0.025,1,0,0,100,100,4,857.0(857-857),143.0(143-143),8.4635183865907(8.4635183865907-8.4635183865907),9.875750742812953(9.875750742812953-9.875750742812953),12728.0(12728-12728),1000.0(1000-1000),13728.0(13728-13728)
[pro] schedule-review-simulation-05-15-15-48-04; [remain03] schedule-review-simulation-05-15-16-23-26; [remain02] schedule-review-simulation-05-15-16-46-28; [remain01] schedule-review-simulation-05-15-17-34-07,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48 ,1000,0.033,1,0,0,100,100,3,[pro] 664.4(657-670); [remain03] 998.8(998-999); [remain02] 999.8(999-1000); [remain01] 1000.0(1000-1000),[pro] 335.6(330-343); [remain03] 1.2(1-2); [remain02] 0.2(0-1); [remain01] 0.0(0-0),[pro] 5.711593119236692(5.68008455270237-5.740126600922141); [remain03] 7.292166582351461(7.262715452100441-7.313167960745412); [remain02] 7.148363915215198(7.140300549116331-7.154244620901672); [remain01] 7.251995845607098(7.229881051485686-7.2629671570825085),[pro] 8.596855895924294(8.528655484538094-8.650113424236475); [remain03] 7.300933080153207(7.269985437537978-7.327823607961335); [remain02] 7.149793404814621(7.143740954789991-7.154244620901672); [remain01] 7.251995845607098(7.229881051485686-7.2629671570825085),[pro] 8454.0(8395-8511); [remain03] 10967.2(10920-10999); [remain02] 10712.8(10702-10723); [remain01] 10889.0(10850-10903),[pro] 5274.0(5217-5333); [remain03] 2760.8(2729-2808); [remain02] 3015.2(3005-3026); [remain01] 2839.0(2825-2878),[pro] 13728.0(13728-13728); [remain03] 13728.0(13728-13728); [remain02] 13728.0(13728-13728); [remain01] 13728.0(13728-13728)
schedule-review-simulation-05-16-10-26-31,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48 ,1000,0.033,1,1000,0,100,100,3,883.6(875-888),116.4(112-125),7.898005548796124(7.800669409579923-8.001408579341728),8.93914295348203(8.784537623400814-9.144466947819117),11569.6(11400-11717),2158.4(2011-2328),13728.0(13728-13728)
schedule-review-simulation-05-15-15-49-08,PBGPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48 ,1000,0.033,1,0,0,100,100,3,939.8(937-941),60.2(59-63),7.734796633260769(7.7304311923668205-7.73851605724899),8.230275123445264(8.216950978641494-8.25019337499127),11385.4(11378-11399),2342.6(2329-2350),13728.0(13728-13728)
schedule-review-simulation-05-15-15-49-37,PBGMixPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48 ,1000,0.033,1,0,0,100,100,3,853.0(853-853),147.0(147-147),7.375214238525484(7.3700826140667-7.378826305586583),8.646206610229171(8.640190637827315-8.650441155435619),10608.0(10608-10608),3120.0(3120-3120),13728.0(13728-13728)
schedule-review-simulation-05-15-15-50-19,SagewithRemainPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48 ,1000,0.033,1,0,0,100,100,3,955.6(954-959),44.4(41-46),7.413792770235662(7.40488671875-7.4195333151895655),7.758281454835658(7.736739640447931-7.77479555687389),11352.6(11342-11361),2375.4(2367-2386),13728.0(13728-13728)
schedule-review-simulation-05-15-15-50-50,BestFitwithRemainPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48 ,1000,0.033,1,0,0,100,100,3,924.0(924-924),76.0(76-76),7.457395900038437(7.457395900038437-7.457395900038437),8.070774783591382(8.070774783591382-8.070774783591382),11493.0(11493-11493),2235.0(2235-2235),13728.0(13728-13728)
schedule-review-simulation-05-15-15-51-19,OfflinePolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48 ,1000,0.033,1,0,0,100,100,3,862.0(862-862),138.0(138-138),8.326608614562005(8.326608614562005-8.326608614562005),9.659638763993044(9.659638763993044-9.659638763993044),12703.0(12703-12703),1025.0(1025-1025),13728.0(13728-13728)
[pro] schedule-review-simulation-05-15-15-32-26; [remain03] schedule-review-simulation-05-15-16-21-45; [remain02] schedule-review-simulation-05-15-16-45-11; [remain01] schedule-review-simulation-05-15-17-32-47,IterativeHISwithOrderPolicy(100),schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48 ,1000,0.05,1,0,0,100,100,2,[pro] 624.8(618-630); [remain03] 717.8(689-743); [remain02] 624.8(618-630); [remain01] 685.8(669-708),[pro] 375.2(370-382); [remain03] 282.2(257-311); [remain02] 375.2(370-382); [remain01] 314.2(292-331),[pro] 4.892971871798164(4.868258044633718-4.9211793753201905); [remain03] 5.187280766521523(5.086336273693654-5.248703709336585); [remain02] 4.892971871798164(4.868258044633718-4.9211793753201905); [remain01] 5.025010386782793(4.953417352394985-5.08944640112705),[pro] 7.831588254275493(7.764366897342453-7.907526010062714); [remain03] 7.230025712594172(7.027381995447966-7.382200687508931); [remain02] 7.831588254275493(7.764366897342453-7.907526010062714); [remain01] 7.328916945233061(7.188483617411088-7.4475711402892175),[pro] 7080.0(6999-7145); [remain03] 7556.8(7427-7674); [remain02] 7134.4(7100-7158); [remain01] 7308.2(7217-7398),[pro] 6648.0(6583-6729) [remain03] 6171.2(6054-6301); [remain02] 6593.6(6570-6628); [remain01] 6419.8(6330-6511),[pro] 13728.0(13728-13728) [remain03] 13728.0(13728-13728); [remain02] 13728.0(13728-13728); [remain01] 13728.0(13728-13728)
schedule-review-simulation-05-16-10-35-16,HISwithOrderProVersionPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48 ,1000,0.05,1,1000,0,100,100,2,767.8(760-778),232.2(222-240),7.084499476498472(7.041917240330437-7.136098552766398),9.227205672044741(9.17236317836298-9.265680579382154),9915.2(9861-9996),3812.8(3732-3867),13728.0(13728-13728)
schedule-review-simulation-05-15-15-37-33,PBGPolicy,schedule-review-simulation-05-09-21-11-48 ,schedule-review-simulation-05-15-15-32-26,schedule-review-simulation-05-09-21-11-48 ,1000,0.05,1,0,0,100,100,2,734.0(730-737),266.0(263-270),5.784472573002053(5.774601626536883-5.796805423924186),7.880820469904263(7.849382766212478-7.910413187036827),8439.8(8424-8455),5288.2(5273-5304),13728.0(13728-13728)
