log目录,policy,在线测试任务信息,数据块信息,历史任务信息,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Target Run Time,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success),Success Datablock Num,Failed Datablock Num,Target Datablock Num,Run Time
[pro] schedule-review-simulation-05-11-20-10-24;  [remain02] schedule-review-simulation-05-13-17-09-47,IterativeHISwithOrderPolicy(1),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,419.0(412-426),581.0(574-588),2.7213708199923152(2.707867643762806-2.742943639536374),6.495888345407212(6.365442363345895-6.657630193049452),nan,nan,nan,5
[pro] schedule-review-simulation-05-12-12-12-12;  [remain02] schedule-review-simulation-05-13-17-10-26,IterativeHISwithOrderPolicy(10),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,509.6(490-528),490.4(472-510),3.37369984951332(3.3217911276895475-3.408009093237705),6.623635534378202(6.450167326683207-6.779165566713362),nan,nan,nan,5
schedule-review-simulation-05-12-12-12-52,IterativeHISwithOrderPolicy(20),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,520.6(509-541),479.4(459-491),3.619789172963626(3.5858339203381155-3.635002385373975),6.956491217676981(6.675892841078676-7.141458517434136),nan,nan,nan,5
schedule-review-simulation-05-12-12-13-28,IterativeHISwithOrderPolicy(30),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,527.2(508-545),472.8(455-492),3.7893448642418(3.753326812243849-3.8206038278048147),7.190313129816363(7.01028225285287-7.38843860677923),nan,nan,nan,5
schedule-review-simulation-05-12-12-14-13,IterativeHISwithOrderPolicy(40),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,531.6(525-543),468.4(457-475),3.9138727058785827(3.8698487849001006-3.950740610591696),7.36349200161087(7.218544474619217-7.52522021065085),nan,nan,nan,5
[pro] schedule-review-simulation-05-11-20-12-01;  [remain02] schedule-review-simulation-05-13-17-11-10,IterativeHISwithOrderPolicy(50),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,513.6(502-537),486.4(463-498),3.8577112384733567(3.8370068759605487-3.8692750384221277),7.515569964777252(7.193534075254899-7.69925558396536),nan,nan,nan,5
schedule-review-simulation-05-12-12-14-47,IterativeHISwithOrderPolicy(60),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,522.6(509-536),477.4(464-491),3.8651691966572708(3.7583793865266357-3.9412109374999944),7.3966670573384645(7.255558661248331-7.5210116940913885),nan,nan,nan,5
schedule-review-simulation-05-12-12-15-22,IterativeHISwithOrderPolicy(70),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,539.0(524-557),461.0(443-476),3.9799148357453857(3.9397792888703895-4.056047539382681),7.388047385218758(7.115160292831354-7.740548739279927),nan,nan,nan,5
schedule-review-simulation-05-12-12-15-51,IterativeHISwithOrderPolicy(80),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,540.4(527-557),459.6(443-473),3.906461023949793(3.8311431544569663-3.9432137070952877),7.230162558512909(7.0625871022355105-7.291378585467096),nan,nan,nan,5
schedule-review-simulation-05-12-12-16-21,IterativeHISwithOrderPolicy(90),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-09-21-11-48,1000,0.1,1,0,0,100,100,1,5,538.6(522-559),461.4(441-478),3.9692199971183357(3.9256243596311453-4.067900574731041),7.371667983385372(7.27710299594104-7.5219631641925195),nan,nan,nan,5
