log目录,policy,在线测试任务信息,数据块信息,历史任务信息,Online job num,Max-min Ratio,change_job_epsilon_max_times,Offline history job num,Beta,Datablock num,Offline datablock num,change_datablock_epsilon_max_times,Target Run Time,Success num,Failed num,Mean Significance (ALL),Mean Significance (Success),Success Datablock Num,Failed Datablock Num,Target Datablock Num,Run Time
schedule-review-simulation-05-16-10-39-21,HISwithOrderProVersionPolicy(1000),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48,1000,0.025,1,1000,0,100,100,4,5,880.0(876-886),120.0(114-124),7.94082877177256(7.874957599577374-8.008619188652673),9.023720135865451(8.983591444599721-9.12143415564086),11711.2(11609-11819),2016.8(1909-2119),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-39-53,HISwithOrderProVersionPolicy(800),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48,1000,0.025,1,800,0,100,100,4,5,860.6(859-863),139.4(137-141),7.722313963242845(7.665868148053299-7.792331134733626),8.973240738538951(8.90727309683567-9.071398294218424),11377.8(11273-11474),2350.2(2254-2455),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-40-51,HISwithOrderProVersionPolicy(600),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48,1000,0.025,1,600,0,100,100,4,5,827.2(817-839),172.8(161-183),7.322743565893973(7.293748102907295-7.338855868980548),8.853226802186985(8.69338272098605-8.952822607951951),10799.6(10749-10821),2928.4(2907-2979),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-41-28,HISwithOrderProVersionPolicy(400),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48,1000,0.025,1,400,0,100,100,4,5,729.2(722-738),270.8(262-278),6.404107401063023(6.36126857870134-6.459853787781767),8.782774274274763(8.651840403161664-8.83556238738343),9495.6(9430-9560),4232.4(4168-4298),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-42-00,HISwithOrderProVersionPolicy(200),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48,1000,0.025,1,200,0,100,100,4,5,656.8(647-668),343.2(332-353),5.905828965484119(5.880182409067625-5.921508460873465),8.992570909056102(8.858588594934872-9.088380848636206),8820.4(8785-8855),4907.6(4873-4943),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-42-32,HISwithOrderProVersionPolicy(0),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48,1000,0.025,1,0,0,100,100,4,5,618.4(615-625),381.6(375-385),5.813139096119362(5.787721167392411-5.839931928790977),9.400437945047358(9.343891086065563-9.444225105427343),8740.6(8686-8795),4987.4(4933-5042),13728.0(13728-13728),5
schedule-review-simulation-05-13-17-20-09,OfflinePolicy,schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-11-17-09-28,schedule-review-simulation-05-09-21-11-48,1000,0.025,1,0,0,100,100,4,5,857.0(857-857),143.0(143-143),8.4635183865907(8.4635183865907-8.4635183865907),9.875750742812953(9.875750742812953-9.875750742812953),12713.0(12713-12713),1015.0(1015-1015),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-26-31,HISwithOrderProVersionPolicy(1000),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48,1000,0.033,1,1000,0,100,100,3,5,883.6(875-888),116.4(112-125),7.898005548796124(7.800669409579923-8.001408579341728),8.93914295348203(8.784537623400814-9.144466947819117),11569.6(11400-11717),2158.4(2011-2328),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-27-12,HISwithOrderProVersionPolicy(800),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48,1000,0.033,1,800,0,100,100,3,5,863.4(851-874),136.6(126-149),7.610046418737211(7.510331887167027-7.723116635181887),8.815084043925665(8.593057079138475-8.99082262535726),11151.0(11003-11312),2577.0(2416-2725),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-27-39,HISwithOrderProVersionPolicy(600),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48,1000,0.033,1,600,0,100,100,3,5,830.0(822-838),170.0(162-178),7.057709863281266(6.954263191598379-7.1930660380379186),8.503012791124759(8.40902441547567-8.583611023911597),10313.8(10205-10471),3414.2(3257-3523),13728.0(13728-13728),5
schedule-review-simulation-05-16-10-28-08,HISwithOrderProVersionPolicy(400),schedule-review-simulation-05-09-21-11-48,schedule-review-simulation-05-15-15-48-04,schedule-review-simulation-05-09-21-11-48,1000,0.033,1,400,0,100,100,3,5,708.4(703-714),291.6(286-297),5.874060828637299(5.860240674628591-5.893197265625),8.292329156049991(8.20880651344811-8.37101884321733),8756.0(8733-8779),4972.0(4949-4995),13728.0(13728-13728),5
